Grammar Point,Romaji,Meaning
上げる,ageru,to finish doing ~
あまり,amari,so much... that
あまりにも,amari ni mo,too...; so much... that; excessively ~
合う,au,do something together
ばいい,ba ii,"should, can, it’d be good if"
ばよかった,ba yokatta,"should have, would have been better if ~"
ば~ほど,ba~hodo,the more... the more
ば~のに,ba~noni,would have; should have; if only ~
ばかりで,bakari de,only; just (negative description)
ばかりでなく,bakari denaku,not only.. but also; as well as
べきだ,beki da,should do~; must do ~
べきではない,beki dewa nai,should not do~; must not do ~
別に~ない,betsu ni~nai,"not really, not particularly"
ぶりに,buri ni,for the first time in (period of time)
中,chuu / juu,currently; during; throughout
だけ,dake,as much as ~
だけでなく,dake de naku,not only... but also
だけど,dakedo,however; but
だらけ,darake,full of; covered with; a lot of ~
どんなに~ても,donna ni~temo,no matter how (much)
どうしても,doushitemo,no matter what; at any cost; after all
ふりをする,furi o suru,to pretend; to act as if ~
ふと,futo,suddenly; accidentally; unexpectedly
がち,gachi,tend to; tendency to; frequently; often ~
がたい,gatai,very difficult to; impossible to
気味,gimi,-like; -looking; -looked; tending to
ごとに,goto ni,each; every; at intervals of
ほど,hodo,degree; extent; bounds; upper limit
ほど~ない,hodo~nai,is not as... as
一度に,ichido ni,all at once
いくら~ても,ikura~temo,no matter how ~
一方だ,ippou da,more and more; continue to
一体,ittai,emphasis; what on earth?
じゃない,janai,maybe; most likely; confirmation
か何か,ka nani ka,or something
かける,kakeru,half-; not yet finished; in the middle of ~
から〜にかけて,kara~ni kakete,through; from [A] to [B]
代わりに,kawari ni,instead of; in exchange for ~
結果,kekka,as a result of; after
結局,kekkyoku,after all; eventually; in the end
決して~ない,kesshite~nai,never; by no means
切れない,kirenai,unable to do; too much to finish
きり,kiri,only; just; since; after
切る,kiru,to do something completely to the end
っけ,kke,casual suffix to confirm something
込む,komu,Move inside; do a long time
こそ,koso,for sure; precisely; definitely
こと,koto,(must) do
ことから,koto kara,from the fact that ~
ことになっている,koto ni natteiru,to be expected to; it has been decided ~
ことはない,koto wa nai,there is no need to; no possibility that ~
ことは~が,koto wa~ga,although; but
くらい・ぐらい,kurai / gurai,approximately; about; to the extent
くせに,kuse ni,although~; despite the fact that ~
まるで,maru de,as if; as though; just like
まさか,masaka,there's no way; that's impossible
めったに~ない,metta ni~nai,hardly; rarely; seldom
も~ば~も,mo~ba~mo,and; also; as well; either/or; neither
もしかしたら,moshika shitara,perhaps; maybe; perchance; by chance
もしも〜たら,moshimo~tara,if; in the case; supposing ~
向け,muke,intended for; aimed at ~
向き,muki,suitable for ~
むしろ,mushiro,rather; instead; better
ながらも,nagara mo,but; although; despite
ないことはない,nai koto wa nai,can do~; is not impossible to~
ないと,naito,must do; unless/if you don't~
なかなか,nakanaka,quite~; pretty~; rather~; just not ~
なんか / なんて,nanka / nante,examples; modesty; make light of~
直す,naosu,to do something again; to do over
なるべく,naru beku,as much as possible
なぜなら,nazenara,because; the reason is
んだって,ndatte,I hear that; heard that ~
に違いない,ni chigai nai,I’m sure/ certain; no doubt that
に反して,ni hanshite,against; contrary to; in contrast to
にかけて,ni kakete,over (a period); concerning; regarding ~
に関する,ni kan suru,about; regarding; related to
にかわって,ni kawatte,instead of~; replacing~; on behalf of ~
に比べて,ni kurabete,compared to~; in comparison to~
に慣れる,ni nareru,to be used to something
において,ni oite,in; at (place); regarding~; as for ~
にしたがって,ni shitagatte,as; therefore; in accordance with
にしても,ni shite mo,even if; even though; regardless of
にしては,ni shite wa,for; considering it’s
に対して,ni taishite,towards; against; regarding ~
にとって,ni totte,to; for; concerning; regarding ~
について,ni tsuite,concerning; regarding; about; on
につれて,ni tsurete,as; in proportion to; with; as... then...
には,ni wa,for the purpose of; in order to ~
によると /によれば,ni yoru to/ni yoreba,according to ~
によって / による,ni yotte / ni yoru,by means of; due to; because of ~
のでしょうか,no deshou ka,ask a question in a polite way
を中心に,o chuushin ni,focused on; centered on
をはじめ,o hajime,for example; starting with
を込めて,o komete,filled with; full of
を通じて /を通して,o tsuujite /o tooshite,through; via; throughout; by
おかげで,okage de,thanks to ...; owing to ...; because of ...
っぱなし,ppanashi,leaving (something) on / still in use
っぽい,ppoi,seems; somewhat; -ish; easily does ~;
さえ,sae,even; so much as; not even
さえ~ば,sae~ba,if only; as long as
際に,sai ni,when; at the time of; in the case of
最中に,saichuu ni,while; during; in the middle of
さらに,sara ni,furthermore; again; more and more
さて,sate,conjunction: well; now; then
せいで,sei de,because of; due to; as a result of ~
せいぜい,seizei,at the most; at best; to the utmost
しばらく,shibaraku,for a moment; for a while
しかない,shikanai,have no choice but ~
そのために,sono tame ni,hence; for that reason; because of ~
それとも,soretomo,or; or else
そうもない,sou mo nai,very unlikely to~; showing no signs of ~
すでに,sude ni,something has already been done
すなわち,sunawachi,in other words; namely
数量 + は,suuryou + wa,at least
たものだ,ta mono da,used to do; would often do
たとたん,ta totan,as soon as; just as
たびに,tabi ni,whenever; every time
ために,tame ni,for; in order to; for the benefit of
確かに,tashika ni,"surely, certainly"
たて,tate,just done; freshly done; newly done
たとえ~ても,tatoe~temo,even if... is the case
例えば,tatoeba,for example
たって,tatte,even if; even though; no matter how
てばかりいる,te bakari iru,only; nothing but ~
てごらん,te goran,(please) try to; (please) look
てはじめて,te hajimete,not until; only after [x] did I
てからでないと,te kara de nai to,must first do; cannot do without ~
てしょうがない,te shou ga nai,can't help but~; very; extremely
て済む,te sumu,sufficient by; resolve by ~
てはいけないから,te wa ikenai kara,in order to not ~
ている場合じゃない,teiru baai janai,this is no time to be doing ~
的,teki,change noun into na-adjective or adverb
ても始まらない,temo hajimaranai,even if you... it’s no use;
てもかまわない,temo kamawanai,it doesn't matter if ~
てもしょうがない,temo shou ga nai,there's no point to~; it's no use to ~
と言えば,to ieba,speaking of; when you talk of ~
といい / たらいい,to ii / tara ii,it would be nice if; should; I hope ~
といっても,to ittemo,although I say; although one might say ~
ということだ,to iu koto da,I heard; it means~; in other words ~
というのは,to iu nowa,this means~; because~; that is to say
と言うと,to iu to,speaking of; when you say ~
というより,to iu yori,rather than ~
とみえる / とみえて,to mieru / to miete,it seems that ~
とすれば,to sureba,in the case of~; assuming~; if A then B
と共に,to tomo ni,together with; at the same time as
途中で,tochuu de,on the way; in the middle of ~
ところで,tokoro de,by the way ~
ところが,tokoro ga,even so; however; even though ~
とおりに,toori ni,in the same way as; in the way; as ~
通す,toosu,to do until the end; to continually do
として,toshite,as~; in the role of ~
とても~ない,totemo~nai,cannot possibly be; hardly ~
とは限らない,towa kagiranai,not necessarily so; is not always true
つい,tsui,accidentally; unintentionally
ついに,tsui ni,finally ~; at last ~; in the end
ついでに,tsuide ni,"while, incidentally, at the same time"
つまり,tsumari,in other words; in summary; in short
つもりだった,tsumori datta,I thought I~; I believe I did ~
つもりで,tsumori de,with the intention of doing ~
うちに,uchi ni,while; before ~
上で,ue de,upon; after; when; for; in order to
上に,ue ni,as well; not only... but also
は別として,wa betsu toshite,aside from; whether or not ~
はもちろん,wa mochiron,not to mention; not only; but also ~
は~で有名,wa~de yuumei,famous for ~
わけだ,wake da,for that reason; no wonder
わけではない,wake dewa nai,it doesn’t mean that ~
わけがない,wake ga nai,there is no way that ~
わけにはいかない,wake niwa ikanai,must not; cannot afford to; must ~
割に,wari ni,considering ~; for ~; despite ~
わざと,wazato,on purpose; intentionally~
わざわざ,wazawaza,to go to the trouble of
よりも,yorimo,rather than~; more than ~
ようがない,you ga nai,there is no way to; it’s impossible to ~
ような気がする,you na ki ga suru,have a feeling that; feels like; seems like
ように,you ni,"in order to, so that ~"
ように見える,you ni mieru,to look; to seem; to appear ~
ようとしない,you to shinai,not try to; not make an effort to ~
ようとする,you to suru,try to; attempt to; be about to ~
ずに,zuni,without doing ~
ずにはいられない,zuni wa irarenai,can’t help but feel; can’t help but do
ずつ,zutsu,apiece; each; at a time