日本語,かな,Romaji,Meaning
鼻,はな,hana,nose
黒,くろ,kuro,black
駅,えき,eki,station
飴,あめ,ame,candy
飛行機,ひこうき,hikouki,airplane; aircraft
風邪,かぜ,kaze,a cold
風,かぜ,kaze,wind
頭,あたま,atama,head
靴下,くつした,kutsushita,socks
靴,くつ,kutsu,shoes
青,あお,ao,blue; azure
電車,でんしゃ,densha,train; electric train
電話,でんわ,denwa,telephone (call / device)l
電気,でんき,denki,electricity
雨,あめ,ame,rain
階段,かいだん,kaidan,stairs; stairway; staircase
門,もん,mon,gate
鍵,かぎ,kagi,key
銀行,ぎんこう,ginkou,bank
鉛筆,えんぴつ,enpitsu,pencil
金曜日,きんようび,kinyoubi,Friday
部屋,へや,heya,room
道,みち,michi,road; street
辺,へん,hen,area
辞書,じしょ,jisho,dictionary
車,くるま,kuruma,car; automobile; vehicle
足,あし,ashi,foot; leg; paw; arm
赤,あか,aka,red; crimson; scarlet
買い物,かいもの,kaimono,shopping
豚肉,ぶたにく,butaniku,pork
警官,けいかん,keikan,policeman; police officer
話,はなし,hanashi,talk; speech; conversation
言葉,ことば,kotoba,word; words
角,かど,kado,a corner; angle
薬,くすり,kusuri,medicine
葉書,はがき,hagaki,postcard
茶色,ちゃいろ,chairo,brown
茶碗,ちゃわん,chawan,rice bowl; tea cup; teacup
英語,えいご,eigo,English language
花瓶,かびん,kabin,a vase
花,はな,hana,flower
色々,いろいろ,iroiro,various
色,いろ,iro,colour; color
自転車,じてんしゃ,jitensha,bicycle
自動車,じどうしゃ,jidousha,automobile
耳,みみ,mimi,ear; hearing
緑,みどり,midori,green
絵,え,e,picture
結構,けっこう,kekkou,"splendid, enough"
結婚,けっこん,kekkon,marriage
紙,かみ,kami,paper
紅茶,こうちゃ,koucha,black tea
箸,はし,hashi,chopsticks
箱,はこ,hako,box; crate
窓,まど,mado,window
秋,あき,aki,autumn; fall
眼鏡,めがね,megane,glasses
真っ直ぐ,まっすぐ,massugu,"straight ahead, direct"
目,め,me,eye
皆さん,みなさん,minasan,everyone
百,ひゃく,hyaku,100; hundred
病院,びょういん,byouin,hospital
病気,びょうき,byouki,illness; disease; sickness
番号,ばんごう,bangou,number
町,まち,machi,town; block; neighborhood
玄関,げんかん,genkan,entrance
犬,いぬ,inu,dog
牛肉,ぎゅうにく,gyuuniku,beef
牛乳,ぎゅうにゅう,gyuunyuu,(cow's) milk
父,ちち,chichi,father
灰皿,はいざら,haizara,ashtray
火曜日,かようび,kayoubi,Tuesday
漢字,かんじ,kanji,kanji
池,いけ,ike,pond
水,みず,mizu,water; fluid; liquid
毎週,まいしゅう,maishuu,every week
毎朝,まいあさ,maiasa,every morning
毎月,まいつき,maitsuki,every month; monthly
毎晩,まいばん,maiban,every night
毎日,まいにち,mainichi,every day
毎年,まいとし,maitoshi,every year; yearly; annually
母,はは,haha,mother
歯,は,ha,tooth
橋,はし,hashi,bridge
椅子,いす,isu,chair
果物,くだもの,kudamono,fruit
東,ひがし,higashi,east
本棚,ほんだな,hondana,bookshelf; bookcase
本当,ほんとう,hontou,truth; reality; actuality; fact
本,ほん,hon,book; volume; script
木曜日,もくようび,mokuyoubi,Thursday
木,き,ki,tree; wood; timber
朝ご飯,あさごはん,asagohan,breakfast
朝,あさ,asa,morning
服,ふく,fuku,clothes
月曜日,げつようび,getsuyoubi,Monday
曇り,くもり,kumori,cloudiness; cloudy weather
暇,ひま,hima,free time
晴れ,はれ,hare,clear weather
晩ご飯,ばんごはん,bangohan,dinner; evening meal
時間,じかん,jikan,time; hour(s)
昼ご飯,ひるごはん,hirugohan,lunch
昼,ひる,hiru,noon; midday; lunch
昨日,きのう,kinou,yesterday
春,はる,haru,spring; springtime
映画館,えいがかん,eigakan,movie theater; cinema
映画,えいが,eiga,movie; film
明日,あした,ashita,tomorrow
明後日,あさって,asatte,day after tomorrow
方,かた,kata,way of doing something
文章,ぶんしょう,bunshou,sentence
教室,きょうしつ,kyoushitsu,classroom
授業,じゅぎょう,jugyou,lesson; class work
意味,いみ,imi,meaning; significance
後,あと,ato,behind; after; left; also
店,みせ,mise,store; shop
帽子,ぼうし,boushi,hat; cap
左,ひだり,hidari,left; left hand side
川,かわ,kawa,river; stream
封筒,ふうとう,fuutou,envelope
家族,かぞく,kazoku,family
家庭,かてい,katei,household
家,いえ,ie,"house, residence, family"
学生,がくせい,gakusei,student
学校,がっこう,gakkou,school
字引,じびき,jibiki,dictionary
子供,こども,kodomo,child
嫌い,きらい,kirai,hate
嫌,いや,iya,unpleasant
姉,あね,ane,elder sister
妹,いもうと,imouto,younger sister
大学,だいがく,daigaku,university; college
外国人,がいこくじん,gaikokujin,foreigner
外国,がいこく,gaikoku,foreign country
声,こえ,koe,voice
地図,ちず,chizu,map
地下鉄,ちかてつ,chikatetsu,subway; underground train
土曜日,どようび,doyoubi,Saturday
国,くに,kuni,country; state; region
喫茶店,きっさてん,kissaten,coffee shop; tearoom; cafe
右,みぎ,migi,right; right hand side
台所,だいどころ,daidokoro,kitchen
口,くち,kuchi,"mouth, opening"
去年,きょねん,kyonen,last year
南,みなみ,minami,south
半分,はんぶん,hanbun,half
半,はん,han,half; semi-; half-past
午後,ごご,gogo,afternoon; p.m.
午前,ごぜん,gozen,morning; a.m.
十,じゅう,juu,ten; 10
医者,いしゃ,isha,(medical) doctor; physician
北,きた,kita,north
動物,どうぶつ,doubutsu,animal
勉強,べんきょう,benkyou,to study
前,まえ,mae,previous; before; in front
切符,きっぷ,kippu,ticket
切手,きって,kitte,stamp (postage)
出口,でぐち,deguchi,exit; gateway; way out
冬,ふゆ,fuyu,winter
公園,こうえん,kouen,park
八,はち,hachi,eight: 8
入口,いりぐち,iriguchi,entrance; entry; gate
兄弟,きょうだい,kyoudai,siblings
兄,あに,ani,elder brother
元気,げんき,genki,lively; energetic; healthy
傘,かさ,kasa,umbrella
体,からだ,karada,body
会社,かいしゃ,kaisha,company; corporation
今週,こんしゅう,konshuu,this week
今朝,けさ,kesa,this morning
今月,こんげつ,kongetsu,this month
今晩,こんばん,konban,tonight; this evening
今日,きょう,kyou,today; this day
今年,ことし,kotoshi,this year
今,いま,ima,now; soon
人,ひと,hito,person; human
交番,こうばん,kouban,police box
交差点,こうさてん,kousaten,intersection
五日,いつか,itsuka,the fifth day of the month
五つ,いつつ,itsutsu,five; 5
五,ご,go,five; 5
二日,ふつか,futsuka,2nd day of month / 2 days
二十歳,はたち,hatachi,20 years old
二十日,はつか,hatsuka,20th day of month
二人,ふたり,futari,two people; pair; couple
二つ,ふたつ,futatsu,two; 2
九日,ここのか,kokonoka,ninth day of the month
九つ,ここのつ,kokonotsu,nine; 9
九,きゅう,kyuu,nine; 9
下手,へた,heta,unskillful; poor; awkward
上手,じょうず,jouzu,skillful; skilled; good (at)
三日,みっか,mikka,the third day of the month
三つ,みっつ,mittsu,three; 3
万年筆,まんねんひつ,mannenhitsu,fountain pen
万,まん,man,"10,000; ten thousand"
一緒,いっしょ,issho,together; same
一番,いちばん,ichiban,number one; 1st; best
一日,いちにち,ichinichi,"one day, all day"
一人,ひとり,hitori,one person; alone; single
一つ,ひとつ,hitotsu,one thing; only
一,いち,ichi,one; best; first; foremost
メートル,,meetoru,meter
みんな,,minna,all; everyone; everybody
マッチ,,macchi,match
ホテル,,hoteru,hotel
ボタン,,botan,button
ほか,,hoka,"other (place, thing, person)"
ボールペン,,boorupen,ball-point pen
ベッド,,beddo,bed
フォーク,,fooku,fork
フィルム,,firumu,film
ハンカチ,,hankachi,handkerchief
バター,,bataa,butter
バス,,basu,bus
はい,,hai,yes; that is correct
どなた,,donata,who
ドア,,doa,door
デパート,,depaato,department store
ご飯,ごはん,gohan,"cooked rice, meal"
コピー,,kopii,copy; photocopy
コップ,,koppu,glass (drinking vessel)
こっち,,kocchi,this person or way
こちら,,kochira,this way; this direction
コーヒー,,koohii,Coffee
コート,,kooto,coat
グラム,,guramu,gram
クラス,,kurasu,class
キロメートル,,kiro meetoru,kilometer
キログラム,,kiro guramu,kilogram
ギター,,gitaa,guitar
カレンダー,,karendaa,calendar
カレー,,karee,curry
カメラ,,kamera,camera
かばん,,kaban,bag; basket
カップ,,kappu,cup
エレベーター,,erebeetaa,elevator
ええ,,ee,yes; that is correct; right
いくら,,ikura,how much?; how many?
アパート,,apaato,apartment
問題,もんだい,mondai,problem; question
物,もの,mono,thing
六日,むいか,muika,sixth day of the month
向こう,むこう,mukou,over there
村,むら,mura,village
六つ,むっつ,muttsu,six; 6
ナイフ,,naifu,knife
中,なか,naka,inside; in; within; center
名前,なまえ,namae,name; full name
七つ,ななつ,nanatsu,seven; 7
七日,なのか,nanoka,seventh day of the month
夏,なつ,natsu,summer
夏休み,なつやすみ,natsuyasumi,summer vacation / holiday
猫,ねこ,neko,cat
ネクタイ,,nekutai,tie; necktie
二,に,ni,two; 2
日曜日,にちようび,nichiyoubi,Sunday
日記,にっき,nikki,diary; journal
肉,にく,niku,meat
荷物,にもつ,nimotsu,luggage; baggage
西,にし,nishi,west
庭,にわ,niwa,garden
飲み物,のみもの,nomimono,drink; beverage
ノート,,nooto,notebook
ニュース,,nyuusu,news
おばあさん,,obaasan,grandmother
伯母さん,おばさん,obasan,aunt; old lady
お弁当,おべんとう,obentou,lunch box
お茶,おちゃ,ocha,tea
お風呂,おふろ,ofuro,bath
伯父さん,おじさん,ojisan,uncle; old man; mister
お母さん,おかあさん,okaasan,mother; mom; mum; ma
お金,おかね,okane,money
お菓子,おかし,okashi,confections; sweets; candy
奥さん,おくさん,okusan,wife; your wife; his wife
お巡りさん,おまわりさん,omawari san,police officer
同じ,おなじ,onaji,same
お腹,おなか,onaka,stomach
お姉さん,おねえさん,oneesan,elder sister; miss; ma'am
音楽,おんがく,ongaku,music
お兄さん,おにいさん,oniisan,elder brother; young man
女,おんな,onna,woman; female sex
女の子,おんなのこ,onnanoko,girl; young women
大勢,おおぜい,oozei,crowd of people
お酒,おさけ,osake,alcohol
お皿,おさら,osara,"plate, dish"
お手洗い,おてあらい,otearai,toilet; restroom; bathroom
男,おとこ,otoko,man; male
男の子,おとこのこ,otokonoko,boy; male child; baby boy
大人,おとな,otona,adult
一昨日,おととい,ototoi,day before yesterday
一昨年,おととし,ototoshi,year before last
お父さん,おとうさん,otousan,father; dad
弟,おとうと,otouto,younger brother
パーティー,,paatii,party
パン,,pan,bread
ページ,,peeji,page
ペン,,pen,pen
ペット,,petto,pet
ポケット,,poketto,pocket
ポスト,,posuto,post
プール,,puuru,swimming pool
来月,らいげつ,raigetsu,next month
来年,らいねん,rainen,next year
来週,らいしゅう,raishuu,next week
ラジオ,,rajiio,radio
零,れい,rei,zero
冷蔵庫,れいぞうこ,reizouko,refrigerator
レコード,,rekoodo,record
練習,れんしゅう,renshuu,practice; practicing
レストラン,,resutoran,restaurant
六,ろく,roku,six; 6
廊下,ろうか,rouka,corridor; hallway
旅行,りょこう,ryokou,travel; trip; journey
料理,りょうり,ryouri,cuisine; food
両親,りょうしん,ryoushin,parents; both parents
留学生,りゅうがくせい,ryuugakusei,exchange student
財布,さいふ,saifu,purse; wallet
魚,さかな,sakana,fish
先,さき,saki,previous; prior; first; earlier
作文,さくぶん,sakubun,writing; composition
三,さん,san,three; 3
散歩,さんぽ,sanpo,walk; stroll
再来年,さらいねん,sarainen,year after next
砂糖,さとう,satou,sugar
背,せ,se,height; stature; back; spine
背広,せびろ,sebiro,business suit
セーター,,seetaa,sweater; jumper
生徒,せいと,seito,pupil; student
石鹼,せっけん,sekken,soap
千,せん,sen,"1,000; thousand"
先月,せんげつ,sengetsu,last month
先生,せんせい,sensei,teacher; instructor; master
先週,せんしゅう,senshuu,last week
洗濯,せんたく,sentaku,washing; laundry
写真,しゃしん,shashin,photograph; photo
シャツ,,shatsu,shirt
シャワー,,shawaa,shower
四,し,shi,four; 4
七,しち,shichi,seven; 7
仕事,しごと,shigoto,work; job; business
新聞,しんぶん,shinbun,newspaper
塩,しお,shio,salt
白,しろ,shiro,white; innocence
下,した,shita,below; down; under
質問,しつもん,shitsumon,question; inquiry
食堂,しょくどう,shokudou,cafeteria; dining room
醬油,しょうゆ,shouyu,soy sauce
宿題,しゅくだい,shukudai,homework; assignment
そば,,soba,near; beside
空,そら,sora,sky; the air
外,そと,soto,outside; exterior;
掃除,そうじ,souji,"to clean, to sweep"
水曜日,すいようび,suiyoubi,Wednesday
スカート,,sukaato,skirt
好き,すき,suki,like
少し,すこし,sukoshi,a little (bit); small quantity
スポーツ,,supootsu,sport; sports
スプーン,,supuun,spoon
スリッパ,,surippa,slipper; slippers
ストーブ,,sutoobu,heater; stove
たばこ,,tabako,tobacco; cigarette
大変,たいへん,taihen,very; greatly; difficult
大切,たいせつ,taisetsu,important; indispensable
大使館,たいしかん,taishikan,embassy
沢山,たくさん,takusan,many
タクシー,,takushii,taxi
卵,たまご,tamago,eggs; egg
誕生日,たんじょうび,tanjoubi,birthday
縦,たて,tate,length; height
建物,たてもの,tatemono,building
手,て,te,hand; arm
テーブル,,teeburu,table
テープ,,teepu,tape
テープレコーダー,,teepu rekoodaa,tape recorder
手紙,てがみ,tegami,Letter (message)
天気,てんき,tenki,weather; the elements
テレビ,,terebi,television; TV
テスト,,tesuto,examination; quiz; test
戸,と,to,Japanese style door
トイレ,,toire,toilet
時計,とけい,tokei,watch; clock; timepiece
時,とき,toki,time; moment
時々,ときどき,tokidoki,sometimes; at times
所,ところ,tokoro,place
友達,ともだち,tomodachi,friend; companion
隣,となり,tonari,next door to
十日,とおか,tooka,tenth day of the month
鳥,とり,tori,bird
鶏肉,とりにく,toriniku,chicken meat
年,とし,toshi,year; age
図書館,としょかん,toshokan,library
次,つぎ,tsugi,next
一日,ついたち,tsuitachi,first day of the month
机,つくえ,tsukue,desk
上,うえ,ue,above; up; over; top
海,うみ,umi,sea
後ろ,うしろ,ushiro,back; behind; rear
歌,うた,uta,song
上着,うわぎ,uwagi,coat; jacket
ワイシャツ,,wai shatsu,shirt
山,やま,yama,mountain; hill
八百屋,やおや,yaoya,greengrocer
野菜,やさい,yasai,vegetable
休み,やすみ,yasumi,rest; vacation; holiday
八つ,やっつ,yattsu,eight: 8
四日,よっか,yokka,fourth day of the month
横,よこ,yoko,"beside,side,width"
夜,よる,yoru,evening; night
四つ,よつ,yotsu,four; 4
洋服,ようふく,youfuku,western clothes
八日,ようか,youka,eighth day of the month
雪,ゆき,yuki,snow
昨夜,ゆうべ,yuube,last night
郵便局,ゆうびんきょく,yuubinkyoku,post office
夕方,ゆうがた,yuugata,evening; dusk
夕飯,ゆうはん,yuuhan,evening meal
有名,ゆうめい,yuumei,famous
雑誌,ざっし,zasshi,magazine
全部,ぜんぶ,zenbu,all
ゼロ,,zero,zero
ズボン,,zubon,trousers; pants
