Dictionary Form (Kanji),Romaji,Meaning,ます Form (Kanji),ます Form (Kana),ない Form (Kanji),ない Form (Kana),た Form (Kanji),た Form (Kana)
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
浴びる,abiru,"to bathe, to shower",浴びます,あびます,浴びない,あびない,浴びた,あびた
上げる,ageru,to raise; to elevate,上げます,あげます,上げない,あげない,上げた,あげた
開ける,akeru,to open,開けます,あけます,開けない,あけない,開けた,あけた
洗う,arau,to wash,洗います,あらいます,洗わない,あらわない,洗った,あらった
ある,aru,"to be, to have",あります,あります,ない,ない,あった,あった
